id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2979462,dongsi_aq,2018-04-30 00:00:00,24.0,97.0,29.0,0.8,58.0,7.0
2979463,tiantan_aq,2018-04-30 00:00:00,,73.0,25.0,0.9,59.0,3.0
2979464,guanyuan_aq,2018-04-30 00:00:00,28.0,77.0,26.0,0.7,67.0,5.0
2979465,wanshouxigong_aq,2018-04-30 00:00:00,25.0,87.0,25.0,1.0,63.0,5.0
2979466,aotizhongxin_aq,2018-04-30 00:00:00,21.0,63.0,32.0,0.7,55.0,7.0
2979467,nongzhanguan_aq,2018-04-30 00:00:00,26.0,76.0,33.0,0.9,51.0,10.0
2979468,wanliu_aq,2018-04-30 00:00:00,21.0,76.0,37.0,0.6,56.0,2.0
2979469,beibuxinqu_aq,2018-04-30 00:00:00,14.0,73.0,23.0,0.6,65.0,2.0
2979470,zhiwuyuan_aq,2018-04-30 00:00:00,,,,,,
2979471,fengtaihuayuan_aq,2018-04-30 00:00:00,35.0,77.0,24.0,0.8,72.0,6.0
2979472,yungang_aq,2018-04-30 00:00:00,16.0,54.0,16.0,0.7,84.0,5.0
2979473,gucheng_aq,2018-04-30 00:00:00,25.0,66.0,24.0,0.6,69.0,2.0
2979474,fangshan_aq,2018-04-30 00:00:00,28.0,79.0,23.0,0.9,80.0,5.0
2979475,daxing_aq,2018-04-30 00:00:00,30.0,98.0,32.0,0.9,57.0,9.0
2979476,yizhuang_aq,2018-04-30 00:00:00,27.0,82.0,26.0,1.5,59.0,6.0
2979477,tongzhou_aq,2018-04-30 00:00:00,30.0,85.0,27.0,1.1,50.0,12.0
2979478,shunyi_aq,2018-04-30 00:00:00,27.0,81.0,27.0,1.3,59.0,14.0
2979479,pingchang_aq,2018-04-30 00:00:00,24.0,51.0,40.0,0.5,37.0,3.0
2979480,mentougou_aq,2018-04-30 00:00:00,16.0,72.0,35.0,0.5,74.0,2.0
2979481,pinggu_aq,2018-04-30 00:00:00,17.0,78.0,19.0,0.4,62.0,3.0
2979482,huairou_aq,2018-04-30 00:00:00,19.0,55.0,12.0,0.5,52.0,2.0
2979483,miyun_aq,2018-04-30 00:00:00,18.0,66.0,11.0,0.4,66.0,8.0
2979484,yanqin_aq,2018-04-30 00:00:00,27.0,115.0,24.0,0.3,44.0,2.0
2979485,dingling_aq,2018-04-30 00:00:00,20.0,86.0,25.0,0.4,43.0,2.0
2979486,badaling_aq,2018-04-30 00:00:00,27.0,92.0,22.0,0.4,76.0,2.0
2979487,miyunshuiku_aq,2018-04-30 00:00:00,21.0,28.0,8.0,0.4,62.0,9.0
2979488,donggaocun_aq,2018-04-30 00:00:00,23.0,67.0,13.0,0.3,67.0,2.0
2979489,yongledian_aq,2018-04-30 00:00:00,45.0,88.0,31.0,1.7,63.0,14.0
2979490,yufa_aq,2018-04-30 00:00:00,35.0,84.0,20.0,0.8,65.0,7.0
2979491,liulihe_aq,2018-04-30 00:00:00,28.0,100.0,21.0,0.6,78.0,2.0
2979492,qianmen_aq,2018-04-30 00:00:00,22.0,97.0,48.0,0.8,51.0,6.0
2979493,yongdingmennei_aq,2018-04-30 00:00:00,19.0,102.0,57.0,1.1,69.0,10.0
2979494,xizhimenbei_aq,2018-04-30 00:00:00,44.0,83.0,50.0,0.6,46.0,3.0
2979495,nansanhuan_aq,2018-04-30 00:00:00,17.0,96.0,63.0,1.0,36.0,9.0
2979496,dongsihuan_aq,2018-04-30 00:00:00,18.0,80.0,55.0,0.8,34.0,9.0
2979518,dongsi_aq,2018-04-30 01:00:00,34.0,38.0,28.0,1.1,59.0,11.0
2979519,tiantan_aq,2018-04-30 01:00:00,,76.0,28.0,1.3,56.0,6.0
2979520,guanyuan_aq,2018-04-30 01:00:00,31.0,83.0,29.0,1.1,65.0,11.0
2979521,wanshouxigong_aq,2018-04-30 01:00:00,34.0,117.0,27.0,1.4,60.0,13.0
2979522,aotizhongxin_aq,2018-04-30 01:00:00,24.0,68.0,29.0,0.9,59.0,8.0
2979523,nongzhanguan_aq,2018-04-30 01:00:00,27.0,82.0,28.0,1.2,55.0,13.0
2979524,wanliu_aq,2018-04-30 01:00:00,33.0,76.0,36.0,0.9,59.0,2.0
2979525,beibuxinqu_aq,2018-04-30 01:00:00,41.0,67.0,19.0,0.6,77.0,3.0
2979526,zhiwuyuan_aq,2018-04-30 01:00:00,,,,,,
2979527,fengtaihuayuan_aq,2018-04-30 01:00:00,36.0,86.0,26.0,1.3,69.0,13.0
2979528,yungang_aq,2018-04-30 01:00:00,18.0,59.0,19.0,0.8,82.0,8.0
2979529,gucheng_aq,2018-04-30 01:00:00,29.0,68.0,23.0,0.9,71.0,4.0
2979530,fangshan_aq,2018-04-30 01:00:00,27.0,74.0,20.0,1.0,86.0,8.0
2979531,daxing_aq,2018-04-30 01:00:00,39.0,81.0,25.0,0.8,66.0,14.0
2979532,yizhuang_aq,2018-04-30 01:00:00,30.0,75.0,24.0,1.5,62.0,13.0
2979533,tongzhou_aq,2018-04-30 01:00:00,33.0,98.0,24.0,1.3,56.0,15.0
2979534,shunyi_aq,2018-04-30 01:00:00,31.0,90.0,21.0,1.1,70.0,16.0
2979535,pingchang_aq,2018-04-30 01:00:00,22.0,53.0,20.0,0.4,71.0,4.0
2979536,mentougou_aq,2018-04-30 01:00:00,19.0,69.0,34.0,0.5,79.0,2.0
2979537,pinggu_aq,2018-04-30 01:00:00,16.0,62.0,14.0,0.4,74.0,3.0
2979538,huairou_aq,2018-04-30 01:00:00,16.0,64.0,17.0,0.9,62.0,5.0
2979539,miyun_aq,2018-04-30 01:00:00,20.0,44.0,7.0,0.4,78.0,8.0
2979540,yanqin_aq,2018-04-30 01:00:00,34.0,81.0,11.0,0.3,85.0,2.0
2979541,dingling_aq,2018-04-30 01:00:00,20.0,74.0,26.0,0.5,65.0,3.0
2979542,badaling_aq,2018-04-30 01:00:00,29.0,84.0,13.0,0.3,96.0,2.0
2979543,miyunshuiku_aq,2018-04-30 01:00:00,22.0,39.0,10.0,0.4,69.0,10.0
2979544,donggaocun_aq,2018-04-30 01:00:00,18.0,77.0,10.0,0.3,76.0,2.0
2979545,yongledian_aq,2018-04-30 01:00:00,38.0,56.0,23.0,1.4,80.0,18.0
2979546,yufa_aq,2018-04-30 01:00:00,34.0,45.0,13.0,0.7,77.0,7.0
2979547,liulihe_aq,2018-04-30 01:00:00,24.0,79.0,17.0,0.6,86.0,2.0
2979548,qianmen_aq,2018-04-30 01:00:00,35.0,89.0,50.0,1.3,50.0,13.0
2979549,yongdingmennei_aq,2018-04-30 01:00:00,38.0,80.0,59.0,1.8,66.0,17.0
2979550,xizhimenbei_aq,2018-04-30 01:00:00,51.0,80.0,43.0,0.9,54.0,5.0
2979551,nansanhuan_aq,2018-04-30 01:00:00,25.0,89.0,60.0,1.4,37.0,18.0
2979552,dongsihuan_aq,2018-04-30 01:00:00,22.0,88.0,56.0,1.1,36.0,12.0
2979574,dongsi_aq,2018-04-30 02:00:00,39.0,59.0,28.0,1.2,64.0,13.0
2979575,tiantan_aq,2018-04-30 02:00:00,,79.0,24.0,1.2,64.0,10.0
2979576,guanyuan_aq,2018-04-30 02:00:00,42.0,88.0,31.0,1.2,67.0,14.0
2979577,wanshouxigong_aq,2018-04-30 02:00:00,33.0,88.0,25.0,1.3,65.0,13.0
2979578,aotizhongxin_aq,2018-04-30 02:00:00,34.0,69.0,28.0,1.2,62.0,10.0
