id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2171773,beijing_grid_000,2018-04-05 00:00:00,CLOUDY,1.0,981.097,80.0,236.58,9.65
2171774,beijing_grid_001,2018-04-05 00:00:00,CLOUDY,1.0,966.4922,80.0,231.97,8.58
2171775,beijing_grid_002,2018-04-05 00:00:00,CLOUDY,-2.0,951.8874,80.0,226.1,7.59
2171776,beijing_grid_003,2018-04-05 00:00:00,CLOUDY,-2.0,935.4202,80.0,227.16,6.86
2171777,beijing_grid_004,2018-04-05 00:00:00,CLOUDY,-2.0,917.0906,81.0,237.3,6.47
2171778,beijing_grid_005,2018-04-05 00:00:00,CLOUDY,-2.0,899.7116,81.0,245.16,5.92
2171779,beijing_grid_006,2018-04-05 00:00:00,CLOUDY,-2.0,879.4842,80.0,268.66,8.47
2171780,beijing_grid_007,2018-04-05 00:00:00,CLOUDY,-2.0,860.2075,78.0,279.9,11.24
2171781,beijing_grid_008,2018-04-05 00:00:00,CLOUDY,0.4,852.5851,77.0,277.43,13.51
2171782,beijing_grid_009,2018-04-05 00:00:00,CLOUDY,0.4,856.6171,79.0,267.18,15.44
2171783,beijing_grid_010,2018-04-05 00:00:00,CLOUDY,-1.0,860.6491,81.0,259.41,17.76
2171784,beijing_grid_011,2018-04-05 00:00:00,CLOUDY,-1.0,871.6314,81.0,246.76,17.4
2171785,beijing_grid_012,2018-04-05 00:00:00,CLOUDY,-1.0,882.6138,82.0,234.21,17.89
2171786,beijing_grid_013,2018-04-05 00:00:00,CLOUDY,-1.0,893.5194,83.0,227.69,15.58
2171787,beijing_grid_014,2018-04-05 00:00:00,CLOUDY,-2.0,904.3482,84.0,225.29,9.85
2171788,beijing_grid_015,2018-04-05 00:00:00,SNOW,-2.0,915.177,85.0,216.3,4.18
2171789,beijing_grid_016,2018-04-05 00:00:00,SNOW,-2.0,914.6273,83.0,114.11,1.34
2171790,beijing_grid_017,2018-04-05 00:00:00,SNOW,-2.0,914.7802,82.0,89.58,3.51
2171791,beijing_grid_018,2018-04-05 00:00:00,CLOUDY,-2.0,905.6282,82.0,113.1,2.67
2171792,beijing_grid_019,2018-04-05 00:00:00,CLOUDY,-2.0,887.5226,84.0,208.52,5.57
2171793,beijing_grid_020,2018-04-05 00:00:00,CLOUDY,-2.0,869.417,86.0,221.65,11.69
2171794,beijing_grid_021,2018-04-05 00:00:00,CLOUDY,2.0,990.6202,80.0,227.9,11.13
2171795,beijing_grid_022,2018-04-05 00:00:00,CLOUDY,1.0,979.4381,79.0,221.31,9.61
2171796,beijing_grid_023,2018-04-05 00:00:00,CLOUDY,2.0,968.256,79.0,212.41,8.25
2171797,beijing_grid_024,2018-04-05 00:00:00,CLOUDY,2.0,953.4452,80.0,206.86,7.15
2171798,beijing_grid_025,2018-04-05 00:00:00,CLOUDY,2.1,935.0055,81.0,206.87,6.11
2171799,beijing_grid_026,2018-04-05 00:00:00,CLOUDY,2.1,916.5658,83.0,206.89,5.06
2171800,beijing_grid_027,2018-04-05 00:00:00,CLOUDY,2.1,901.7767,79.0,241.54,5.55
2171801,beijing_grid_028,2018-04-05 00:00:00,CLOUDY,2.1,886.9876,75.0,264.09,7.51
2171802,beijing_grid_029,2018-04-05 00:00:00,CLOUDY,0.4,875.3371,75.0,266.9,10.1
2171803,beijing_grid_030,2018-04-05 00:00:00,CLOUDY,0.2,866.8251,78.0,261.24,12.88
2171804,beijing_grid_031,2018-04-05 00:00:00,CLOUDY,-1.0,858.3131,81.0,257.61,15.75
2171805,beijing_grid_032,2018-04-05 00:00:00,CLOUDY,-1.0,874.5921,81.0,245.76,14.81
2171806,beijing_grid_033,2018-04-05 00:00:00,CLOUDY,-1.0,890.8711,81.0,232.96,14.58
2171807,beijing_grid_034,2018-04-05 00:00:00,CLOUDY,-1.0,903.6954,81.0,225.78,11.77
2171808,beijing_grid_035,2018-04-05 00:00:00,CLOUDY,-1.0,913.065,82.0,221.83,5.85
2171809,beijing_grid_036,2018-04-05 00:00:00,CLOUDY,-2.0,922.4346,82.0,128.71,0.81
2171810,beijing_grid_037,2018-04-05 00:00:00,CLOUDY,-2.0,914.4154,83.0,73.01,1.95
2171811,beijing_grid_038,2018-04-05 00:00:00,CLOUDY,-2.0,906.3962,84.0,62.0,3.51
2171812,beijing_grid_039,2018-04-05 00:00:00,CLOUDY,-2.0,893.8215,85.0,84.06,0.87
2171813,beijing_grid_040,2018-04-05 00:00:00,CLOUDY,-2.0,876.6913,87.0,229.6,6.33
2171814,beijing_grid_041,2018-04-05 00:00:00,CLOUDY,-2.0,859.561,88.0,231.72,13.38
2171815,beijing_grid_042,2018-04-05 00:00:00,CLOUDY,2.0,1000.1434,79.0,221.37,12.8
2171816,beijing_grid_043,2018-04-05 00:00:00,CLOUDY,2.0,992.384,79.0,212.93,10.89
2171817,beijing_grid_044,2018-04-05 00:00:00,CLOUDY,2.0,984.6247,78.0,201.29,9.31
2171818,beijing_grid_045,2018-04-05 00:00:00,CLOUDY,2.0,971.4701,79.0,190.03,8.22
2171819,beijing_grid_046,2018-04-05 00:00:00,CLOUDY,2.0,952.9204,82.0,180.59,7.4
2171820,beijing_grid_047,2018-04-05 00:00:00,CLOUDY,2.0,934.3706,84.0,169.19,6.83
2171821,beijing_grid_048,2018-04-05 00:00:00,CLOUDY,2.0,924.0692,79.0,194.22,5.25
2171822,beijing_grid_049,2018-04-05 00:00:00,CLOUDY,2.0,913.7678,73.0,227.98,5.2
2171823,beijing_grid_050,2018-04-05 00:00:00,CLOUDY,2.1,898.0891,72.0,247.28,7.35
2171824,beijing_grid_051,2018-04-05 00:00:00,CLOUDY,0.2,869.4591,78.0,252.91,11.53
2171825,beijing_grid_052,2018-04-05 00:00:00,CLOUDY,-1.0,855.9771,81.0,255.28,13.76
2171826,beijing_grid_053,2018-04-05 00:00:00,CLOUDY,-1.0,877.5527,80.0,244.35,12.24
2171827,beijing_grid_054,2018-04-05 00:00:00,CLOUDY,-1.0,899.1284,79.0,230.96,11.27
2171828,beijing_grid_055,2018-04-05 00:00:00,CLOUDY,-1.0,913.8714,79.0,222.04,7.98
2171829,beijing_grid_056,2018-04-05 00:00:00,CLOUDY,-1.0,921.7818,79.0,204.17,1.96
2171830,beijing_grid_057,2018-04-05 00:00:00,CLOUDY,-1.0,929.6922,80.0,57.78,4.42
2171831,beijing_grid_058,2018-04-05 00:00:00,CLOUDY,-2.0,913.8522,83.0,48.79,4.27
2171832,beijing_grid_059,2018-04-05 00:00:00,CLOUDY,-2.0,898.0122,86.0,39.38,4.23
2171833,beijing_grid_060,2018-04-05 00:00:00,CLOUDY,-2.0,882.0148,88.0,329.84,1.42
2171834,beijing_grid_061,2018-04-05 00:00:00,CLOUDY,-2.0,862.3873,90.0,245.69,8.75
2171835,beijing_grid_062,2018-04-05 00:00:00,CLOUDY,-2.0,849.705,91.0,239.36,15.39
2171836,beijing_grid_063,2018-04-05 00:00:00,CLOUDY,2.0,1007.6634,79.0,217.84,14.31
2171837,beijing_grid_064,2018-04-05 00:00:00,CLOUDY,2.0,1002.5536,79.0,209.41,12.21
2171838,beijing_grid_065,2018-04-05 00:00:00,CLOUDY,2.0,997.4439,78.0,197.88,10.49
2171839,beijing_grid_066,2018-04-05 00:00:00,CLOUDY,2.0,985.7332,80.0,185.42,9.32
2171840,beijing_grid_067,2018-04-05 00:00:00,CLOUDY,2.0,967.4215,83.0,173.2,8.59
2171841,beijing_grid_068,2018-04-05 00:00:00,CLOUDY,2.0,949.1098,86.0,159.46,8.31
2171842,beijing_grid_069,2018-04-05 00:00:00,CLOUDY,2.0,939.2103,80.0,172.74,6.52
2171843,beijing_grid_070,2018-04-05 00:00:00,CLOUDY,2.0,929.3108,75.0,193.81,5.31
2171844,beijing_grid_071,2018-04-05 00:00:00,CLOUDY,2.1,911.5969,74.0,221.7,5.9
2171845,beijing_grid_072,2018-04-05 00:00:00,CLOUDY,0.2,886.0686,78.0,239.44,8.3
2171846,beijing_grid_073,2018-04-05 00:00:00,CLOUDY,-1.0,860.5402,82.0,248.74,11.13
2171847,beijing_grid_074,2018-04-05 00:00:00,CLOUDY,-1.0,883.9617,80.0,238.11,9.26
2171848,beijing_grid_075,2018-04-05 00:00:00,CLOUDY,-1.0,907.3831,78.0,222.97,7.85
2171849,beijing_grid_076,2018-04-05 00:00:00,CLOUDY,-1.0,920.8922,78.0,207.48,4.65
2171850,beijing_grid_077,2018-04-05 00:00:00,CLOUDY,-1.0,926.0749,80.0,62.67,3.97
2171851,beijing_grid_078,2018-04-05 00:00:00,CLOUDY,-1.0,928.0858,81.0,54.29,6.98
2171852,beijing_grid_079,2018-04-05 00:00:00,CLOUDY,-1.0,909.3466,85.0,43.44,5.14
2171853,beijing_grid_080,2018-04-05 00:00:00,CLOUDY,-2.0,890.6074,89.0,22.47,3.67
2171854,beijing_grid_081,2018-04-05 00:00:00,CLOUDY,-2.0,876.3355,91.0,314.23,2.54
2171855,beijing_grid_082,2018-04-05 00:00:00,CLOUDY,-2.0,858.5645,91.0,250.03,9.53
2171856,beijing_grid_083,2018-04-05 00:00:00,CLOUDY,-2.0,843.449,92.0,243.45,16.94
2171857,beijing_grid_084,2018-04-05 00:00:00,CLOUDY,2.0,1013.1802,79.0,216.3,15.56
2171858,beijing_grid_085,2018-04-05 00:00:00,CLOUDY,2.0,1009.9469,79.0,209.31,13.43
2171859,beijing_grid_086,2018-04-05 00:00:00,CLOUDY,2.0,1006.7136,79.0,199.9,11.58
2171860,beijing_grid_087,2018-04-05 00:00:00,CLOUDY,2.0,996.2343,81.0,189.02,10.05
2171861,beijing_grid_088,2018-04-05 00:00:00,CLOUDY,2.0,978.5089,85.0,176.64,8.85
2171862,beijing_grid_089,2018-04-05 00:00:00,CLOUDY,2.0,960.7834,89.0,161.34,8.17
2171863,beijing_grid_090,2018-04-05 00:00:00,CLOUDY,2.0,947.2001,84.0,167.77,6.92
2171864,beijing_grid_091,2018-04-05 00:00:00,CLOUDY,2.1,933.6167,80.0,176.83,5.8
2171865,beijing_grid_092,2018-04-05 00:00:00,CLOUDY,2.1,915.8606,79.0,196.13,5.46
2171866,beijing_grid_093,2018-04-05 00:00:00,CLOUDY,0.2,893.9316,81.0,218.28,6.52
2171867,beijing_grid_094,2018-04-05 00:00:00,CLOUDY,-1.0,872.0026,83.0,232.72,8.25
2171868,beijing_grid_095,2018-04-05 00:00:00,CLOUDY,-1.0,893.819,80.0,219.43,6.29
2171869,beijing_grid_096,2018-04-05 00:00:00,CLOUDY,-1.0,915.6353,77.0,196.79,4.93
2171870,beijing_grid_097,2018-04-05 00:00:00,CLOUDY,-1.0,924.7578,77.0,157.26,3.03
2171871,beijing_grid_098,2018-04-05 00:00:00,CLOUDY,-1.0,921.1866,81.0,76.32,3.9
2171872,beijing_grid_099,2018-04-05 00:00:00,SNOW,-1.0,917.6154,85.0,54.09,7.9
2171873,beijing_grid_100,2018-04-05 00:00:00,SNOW,-1.0,900.8986,88.0,40.38,4.37
2171874,beijing_grid_101,2018-04-05 00:00:00,SNOW,-2.0,884.1818,91.0,339.8,2.15
2171875,beijing_grid_102,2018-04-05 00:00:00,SNOW,-2.0,868.8174,93.0,265.64,5.28
2171876,beijing_grid_103,2018-04-05 00:00:00,CLOUDY,-2.0,854.8052,92.0,249.89,11.45
2171877,beijing_grid_104,2018-04-05 00:00:00,CLOUDY,-2.0,840.793,92.0,245.29,17.87
2171878,beijing_grid_105,2018-04-05 00:00:00,CLOUDY,1.0,1018.697,79.0,214.99,16.82
2171879,beijing_grid_106,2018-04-05 00:00:00,CLOUDY,2.0,1017.3402,79.0,209.22,14.65
2171880,beijing_grid_107,2018-04-05 00:00:00,CLOUDY,2.0,1015.9834,80.0,201.56,12.68
2171881,beijing_grid_108,2018-04-05 00:00:00,CLOUDY,2.0,1006.7354,82.0,192.11,10.81
2171882,beijing_grid_109,2018-04-05 00:00:00,CLOUDY,2.0,989.5962,87.0,179.87,9.13
2171883,beijing_grid_110,2018-04-05 00:00:00,CLOUDY,2.0,969.9542,90.0,166.57,7.73
2171884,beijing_grid_111,2018-04-05 00:00:00,CLOUDY,2.0,955.1898,88.0,163.37,7.37
2171885,beijing_grid_112,2018-04-05 00:00:00,CLOUDY,2.0,937.9227,85.0,163.47,6.7
2171886,beijing_grid_113,2018-04-05 00:00:00,CLOUDY,2.0,920.1243,84.0,171.65,6.14
2171887,beijing_grid_114,2018-04-05 00:00:00,CLOUDY,2.2,901.7946,84.0,188.84,6.09
2171888,beijing_grid_115,2018-04-05 00:00:00,CLOUDY,-1.0,883.465,84.0,204.88,6.57
2171889,beijing_grid_116,2018-04-05 00:00:00,CLOUDY,-1.0,907.3751,80.0,176.52,4.67
2171890,beijing_grid_117,2018-04-05 00:00:00,CLOUDY,-1.0,923.8874,76.0,145.83,4.46
2171891,beijing_grid_118,2018-04-05 00:00:00,CLOUDY,-1.0,928.6234,77.0,108.0,4.72
2171892,beijing_grid_119,2018-04-05 00:00:00,CLOUDY,-1.0,917.5509,84.0,73.83,5.78
2171893,beijing_grid_120,2018-04-05 00:00:00,CLOUDY,-1.0,907.145,89.0,53.94,8.83
2171894,beijing_grid_121,2018-04-05 00:00:00,CLOUDY,-1.0,892.4506,91.0,36.02,3.61
2171895,beijing_grid_122,2018-04-05 00:00:00,SNOW,-1.0,877.7562,94.0,282.59,2.96
2171896,beijing_grid_123,2018-04-05 00:00:00,CLOUDY,-2.0,863.9547,94.0,256.49,8.0
2171897,beijing_grid_124,2018-04-05 00:00:00,CLOUDY,-2.0,851.0458,93.0,249.79,13.37
2171898,beijing_grid_125,2018-04-05 00:00:00,CLOUDY,-2.0,838.137,91.0,246.94,18.81
2171899,beijing_grid_126,2018-04-05 00:00:00,CLOUDY,2.0,1019.7082,79.0,215.54,17.11
2171900,beijing_grid_127,2018-04-05 00:00:00,CLOUDY,2.0,1018.3693,80.0,212.17,15.32
2171901,beijing_grid_128,2018-04-05 00:00:00,CLOUDY,2.0,1017.0304,81.0,207.92,13.6
2171902,beijing_grid_129,2018-04-05 00:00:00,CLOUDY,2.0,1011.5603,83.0,204.35,11.97
2171903,beijing_grid_130,2018-04-05 00:00:00,CLOUDY,2.0,997.8945,87.0,197.68,9.62
2171904,beijing_grid_131,2018-04-05 00:00:00,CLOUDY,2.0,985.5834,90.0,189.13,7.67
2171905,beijing_grid_132,2018-04-05 00:00:00,CLOUDY,2.0,965.449,89.0,188.68,6.85
2171906,beijing_grid_133,2018-04-05 00:00:00,CLOUDY,2.0,942.0939,90.0,197.68,5.83
2171907,beijing_grid_134,2018-04-05 00:00:00,CLOUDY,2.0,928.6618,87.0,191.12,5.78
2171908,beijing_grid_135,2018-04-05 00:00:00,CLOUDY,2.0,915.4906,86.0,197.26,6.18
2171909,beijing_grid_136,2018-04-05 00:00:00,CLOUDY,-1.0,902.3194,85.0,202.61,6.63
2171910,beijing_grid_137,2018-04-05 00:00:00,CLOUDY,-1.0,913.3991,83.0,178.45,4.87
2171911,beijing_grid_138,2018-04-05 00:00:00,CLOUDY,-1.0,924.4788,81.0,142.04,4.57
2171912,beijing_grid_139,2018-04-05 00:00:00,CLOUDY,-1.0,925.4183,82.0,112.77,4.64
2171913,beijing_grid_140,2018-04-05 00:00:00,CLOUDY,-1.0,916.2177,86.0,82.81,4.55
2171914,beijing_grid_141,2018-04-05 00:00:00,CLOUDY,-1.0,907.017,90.0,58.34,5.59
2171915,beijing_grid_142,2018-04-05 00:00:00,CLOUDY,-1.0,895.3357,91.0,47.34,0.76
2171916,beijing_grid_143,2018-04-05 00:00:00,CLOUDY,-1.0,883.6545,93.0,242.39,4.11
2171917,beijing_grid_144,2018-04-05 00:00:00,CLOUDY,-4.0,873.0375,92.0,241.28,8.39
2171918,beijing_grid_145,2018-04-05 00:00:00,CLOUDY,-4.0,863.4849,89.0,241.03,12.13
2171919,beijing_grid_146,2018-04-05 00:00:00,CLOUDY,-4.0,853.9322,86.0,240.89,15.86
2171920,beijing_grid_147,2018-04-05 00:00:00,CLOUDY,2.0,1020.7194,79.0,216.07,17.4
2171921,beijing_grid_148,2018-04-05 00:00:00,CLOUDY,2.0,1019.3571,81.0,215.37,15.92
2171922,beijing_grid_149,2018-04-05 00:00:00,CLOUDY,2.0,1018.0775,81.0,213.42,14.66
2171923,beijing_grid_150,2018-04-05 00:00:00,CLOUDY,2.0,1013.6756,83.0,212.57,12.96
2171924,beijing_grid_151,2018-04-05 00:00:00,CLOUDY,2.0,1006.1927,86.0,212.52,10.9
2171925,beijing_grid_152,2018-04-05 00:00:00,CLOUDY,2.0,998.7098,89.0,212.46,8.84
2171926,beijing_grid_153,2018-04-05 00:00:00,CLOUDY,2.0,975.7082,90.0,212.78,7.71
