id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2606907,london_grid_000,2018-04-17 00:00:00,WIND,11.02,1016.9412,82.0,187.72,39.1
2606908,london_grid_001,2018-04-17 00:00:00,WIND,10.95,1015.7508,81.0,188.21,36.37
2606909,london_grid_002,2018-04-17 00:00:00,WIND,10.89,1014.5604,79.0,188.78,33.64
2606910,london_grid_003,2018-04-17 00:00:00,CLOUDY,10.69,1011.6836,78.0,188.72,31.36
2606911,london_grid_004,2018-04-17 00:00:00,CLOUDY,10.35,1007.1204,78.0,187.88,29.53
2606912,london_grid_005,2018-04-17 00:00:00,CLOUDY,10.02,1002.5572,77.0,186.92,27.71
2606913,london_grid_006,2018-04-17 00:00:00,CLOUDY,9.83,1001.7124,78.0,185.19,26.89
2606914,london_grid_007,2018-04-17 00:00:00,CLOUDY,9.63,1000.8676,78.0,183.35,26.09
2606915,london_grid_008,2018-04-17 00:00:00,CLOUDY,9.52,1001.0596,79.0,181.99,25.47
2606916,london_grid_009,2018-04-17 00:00:00,CLOUDY,9.48,1002.2884,79.0,181.17,25.01
2606917,london_grid_010,2018-04-17 00:00:00,CLOUDY,9.45,1003.5172,79.0,180.32,24.56
2606918,london_grid_011,2018-04-17 00:00:00,CLOUDY,9.34,1001.3604,80.0,180.51,25.05
2606919,london_grid_012,2018-04-17 00:00:00,CLOUDY,9.24,999.2036,81.0,180.69,25.54
2606920,london_grid_013,2018-04-17 00:00:00,CLOUDY,9.22,998.6692,81.0,180.93,26.05
2606921,london_grid_014,2018-04-17 00:00:00,CLOUDY,9.31,999.7572,81.0,181.23,26.59
2606922,london_grid_015,2018-04-17 00:00:00,CLOUDY,9.39,1000.8452,82.0,181.51,27.12
2606923,london_grid_016,2018-04-17 00:00:00,CLOUDY,9.45,1001.8116,81.0,181.93,27.13
2606924,london_grid_017,2018-04-17 00:00:00,CLOUDY,9.5,1002.778,81.0,182.36,27.14
2606925,london_grid_018,2018-04-17 00:00:00,CLOUDY,9.61,1001.8468,80.0,182.98,27.02
2606926,london_grid_019,2018-04-17 00:00:00,CLOUDY,9.76,999.018,77.0,183.81,26.76
2606927,london_grid_020,2018-04-17 00:00:00,CLOUDY,9.91,996.1891,75.0,184.66,26.52
2606928,london_grid_021,2018-04-17 00:00:00,WIND,11.03,1017.178,82.0,187.91,38.46
2606929,london_grid_022,2018-04-17 00:00:00,WIND,10.98,1016.1309,81.0,188.4,35.78
2606930,london_grid_023,2018-04-17 00:00:00,WIND,10.92,1015.0839,79.0,188.98,33.09
2606931,london_grid_024,2018-04-17 00:00:00,CLOUDY,10.75,1012.6052,78.0,188.96,30.81
2606932,london_grid_025,2018-04-17 00:00:00,CLOUDY,10.44,1008.6948,77.0,188.22,28.93
2606933,london_grid_026,2018-04-17 00:00:00,CLOUDY,10.14,1004.7844,77.0,187.37,27.06
2606934,london_grid_027,2018-04-17 00:00:00,CLOUDY,9.91,1003.0026,78.0,185.88,26.55
2606935,london_grid_028,2018-04-17 00:00:00,CLOUDY,9.68,1001.2208,78.0,184.33,26.05
2606936,london_grid_029,2018-04-17 00:00:00,CLOUDY,9.54,1000.577,79.0,183.2,25.63
2606937,london_grid_030,2018-04-17 00:00:00,CLOUDY,9.47,1001.0711,79.0,182.51,25.26
2606938,london_grid_031,2018-04-17 00:00:00,CLOUDY,9.41,1001.5652,80.0,181.81,24.9
2606939,london_grid_032,2018-04-17 00:00:00,CLOUDY,9.36,1000.7728,80.0,181.76,25.23
2606940,london_grid_033,2018-04-17 00:00:00,CLOUDY,9.31,999.9805,81.0,181.71,25.56
2606941,london_grid_034,2018-04-17 00:00:00,CLOUDY,9.29,999.5703,81.0,181.69,25.95
2606942,london_grid_035,2018-04-17 00:00:00,CLOUDY,9.29,999.5421,82.0,181.71,26.42
2606943,london_grid_036,2018-04-17 00:00:00,CLOUDY,9.29,999.514,82.0,181.73,26.88
2606944,london_grid_037,2018-04-17 00:00:00,CLOUDY,9.4,1001.1946,82.0,182.1,26.92
2606945,london_grid_038,2018-04-17 00:00:00,CLOUDY,9.52,1002.8753,81.0,182.46,26.96
2606946,london_grid_039,2018-04-17 00:00:00,CLOUDY,9.64,1002.5482,79.0,183.04,26.82
2606947,london_grid_040,2018-04-17 00:00:00,CLOUDY,9.78,1000.2135,77.0,183.84,26.5
2606948,london_grid_041,2018-04-17 00:00:00,CLOUDY,9.92,997.8787,75.0,184.65,26.19
2606949,london_grid_042,2018-04-17 00:00:00,WIND,11.04,1017.4147,82.0,188.11,37.83
2606950,london_grid_043,2018-04-17 00:00:00,WIND,11.0,1016.5111,81.0,188.61,35.19
2606951,london_grid_044,2018-04-17 00:00:00,WIND,10.96,1015.6074,79.0,189.19,32.55
2606952,london_grid_045,2018-04-17 00:00:00,CLOUDY,10.8,1013.5267,78.0,189.22,30.26
2606953,london_grid_046,2018-04-17 00:00:00,CLOUDY,10.53,1010.2692,77.0,188.58,28.33
2606954,london_grid_047,2018-04-17 00:00:00,CLOUDY,10.25,1007.0116,77.0,187.84,26.4
2606955,london_grid_048,2018-04-17 00:00:00,CLOUDY,9.99,1004.2928,78.0,186.58,26.21
2606956,london_grid_049,2018-04-17 00:00:00,CLOUDY,9.73,1001.5741,78.0,185.31,26.02
2606957,london_grid_050,2018-04-17 00:00:00,CLOUDY,9.56,1000.0945,79.0,184.39,25.8
2606958,london_grid_051,2018-04-17 00:00:00,CLOUDY,9.46,999.8538,80.0,183.83,25.53
2606959,london_grid_052,2018-04-17 00:00:00,CLOUDY,9.36,999.6132,80.0,183.25,25.26
2606960,london_grid_053,2018-04-17 00:00:00,CLOUDY,9.38,1000.1853,80.0,182.98,25.42
2606961,london_grid_054,2018-04-17 00:00:00,CLOUDY,9.39,1000.7575,81.0,182.72,25.58
2606962,london_grid_055,2018-04-17 00:00:00,CLOUDY,9.35,1000.4714,81.0,182.46,25.86
2606963,london_grid_056,2018-04-17 00:00:00,CLOUDY,9.27,999.3271,82.0,182.21,26.25
2606964,london_grid_057,2018-04-17 00:00:00,CLOUDY,9.18,998.1828,83.0,181.97,26.64
2606965,london_grid_058,2018-04-17 00:00:00,CLOUDY,9.36,1000.5777,82.0,182.27,26.72
2606966,london_grid_059,2018-04-17 00:00:00,CLOUDY,9.53,1002.9725,81.0,182.57,26.79
2606967,london_grid_060,2018-04-17 00:00:00,CLOUDY,9.67,1003.2497,79.0,183.1,26.63
2606968,london_grid_061,2018-04-17 00:00:00,CLOUDY,9.8,1001.409,77.0,183.86,26.24
2606969,london_grid_062,2018-04-17 00:00:00,CLOUDY,9.92,999.5683,75.0,184.65,25.85
2606970,london_grid_063,2018-04-17 00:00:00,WIND,11.03,1017.4979,82.0,188.36,37.04
2606971,london_grid_064,2018-04-17 00:00:00,WIND,11.0,1016.6263,81.0,188.9,34.3
2606972,london_grid_065,2018-04-17 00:00:00,CLOUDY,10.98,1015.7546,79.0,189.53,31.55
