id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2979498,CD1,2018-04-30 00:00:00,6.2,8.6,6.1,,,
2979499,BL0,2018-04-30 00:00:00,,,,,,
2979500,GR4,2018-04-30 00:00:00,6.1,8.7,1.2,,,
2979501,MY7,2018-04-30 00:00:00,5.2,9.7,,,,
2979502,HV1,2018-04-30 00:00:00,1.2,4.7,2.9,,,
2979503,GN3,2018-04-30 00:00:00,4.3,11.7,4.3,,,
2979504,GR9,2018-04-30 00:00:00,1.6,8.6,8.0,,,
2979505,LW2,2018-04-30 00:00:00,6.1,13.2,8.8,,,
2979506,GN0,2018-04-30 00:00:00,4.7,10.5,6.2,,,
2979507,KF1,2018-04-30 00:00:00,4.1,7.7,,,,
2979508,CD9,2018-04-30 00:00:00,,,12.6,,,
2979509,CT3,2018-04-30 00:00:00,6.0,16.0,,,,
2979510,CT2,2018-04-30 00:00:00,,,,,,
2979511,BX9,2018-04-30 00:00:00,5.2,,,,,
2979512,BX1,2018-04-30 00:00:00,,10.6,,,,
2979513,TH4,2018-04-30 00:00:00,4.5,11.7,,,,
2979514,ST5,2018-04-30 00:00:00,5.0,14.0,4.2,,,
2979515,RB7,2018-04-30 00:00:00,8.0,13.4,,,,
2979516,TD5,2018-04-30 00:00:00,7.1,,,,,
2979554,CD1,2018-04-30 01:00:00,5.4,8.1,4.7,,,
2979555,BL0,2018-04-30 01:00:00,,9.7,7.1,,,
2979556,GR4,2018-04-30 01:00:00,5.8,9.6,,,,
2979557,MY7,2018-04-30 01:00:00,5.6,10.2,,,,
2979558,HV1,2018-04-30 01:00:00,6.1,9.2,3.1,,,
2979559,GN3,2018-04-30 01:00:00,4.0,9.4,5.0,,,
2979560,GR9,2018-04-30 01:00:00,2.4,10.9,7.8,,,
2979561,LW2,2018-04-30 01:00:00,8.8,10.4,8.2,,,
2979562,GN0,2018-04-30 01:00:00,2.5,11.5,10.3,,,
2979563,KF1,2018-04-30 01:00:00,4.2,7.8,,,,
2979564,CD9,2018-04-30 01:00:00,,,13.0,,,
2979565,CT3,2018-04-30 01:00:00,4.0,10.8,,,,
2979566,CT2,2018-04-30 01:00:00,,,,,,
2979567,BX9,2018-04-30 01:00:00,4.3,,,,,
2979568,BX1,2018-04-30 01:00:00,,9.7,,,,
2979569,TH4,2018-04-30 01:00:00,6.9,16.7,,,,
2979570,ST5,2018-04-30 01:00:00,5.0,,3.6,,,
2979571,RB7,2018-04-30 01:00:00,11.0,11.6,,,,
2979572,TD5,2018-04-30 01:00:00,7.6,,,,,
2979610,CD1,2018-04-30 02:00:00,8.6,10.3,3.2,,,
2979611,BL0,2018-04-30 02:00:00,,,,,,
2979612,GR4,2018-04-30 02:00:00,2.9,11.4,3.0,,,
2979613,MY7,2018-04-30 02:00:00,7.7,8.1,,,,
2979614,HV1,2018-04-30 02:00:00,-0.6,3.5,3.2,,,
2979615,GN3,2018-04-30 02:00:00,3.0,8.4,4.3,,,
2979616,GR9,2018-04-30 02:00:00,2.8,9.5,7.1,,,
2979617,LW2,2018-04-30 02:00:00,9.0,8.0,7.5,,,
2979618,GN0,2018-04-30 02:00:00,4.0,9.3,11.3,,,
2979619,KF1,2018-04-30 02:00:00,4.0,7.2,,,,
2979620,CD9,2018-04-30 02:00:00,,,10.4,,,
2979621,CT3,2018-04-30 02:00:00,14.0,10.6,,,,
2979622,CT2,2018-04-30 02:00:00,,,,,,
2979623,BX9,2018-04-30 02:00:00,4.5,,,,,
2979624,BX1,2018-04-30 02:00:00,,10.9,,,,
2979625,TH4,2018-04-30 02:00:00,3.7,10.2,,,,
2979626,ST5,2018-04-30 02:00:00,4.0,14.0,2.9,,,
2979627,RB7,2018-04-30 02:00:00,6.0,10.8,,,,
2979628,TD5,2018-04-30 02:00:00,7.2,,,,,
2979666,CD1,2018-04-30 03:00:00,5.0,6.1,5.5,,,
2979667,BL0,2018-04-30 03:00:00,,6.2,6.9,,,
2979668,GR4,2018-04-30 03:00:00,0.2,13.4,3.3,,,
2979669,MY7,2018-04-30 03:00:00,1.8,5.6,,,,
2979670,HV1,2018-04-30 03:00:00,1.5,5.1,3.2,,,
2979671,GN3,2018-04-30 03:00:00,4.2,9.7,4.3,,,
2979672,GR9,2018-04-30 03:00:00,1.7,5.9,7.4,,,
2979673,LW2,2018-04-30 03:00:00,4.7,9.7,8.9,,,
2979674,GN0,2018-04-30 03:00:00,6.5,6.6,14.5,,,
2979675,KF1,2018-04-30 03:00:00,3.6,7.3,,,,
2979676,CD9,2018-04-30 03:00:00,,,12.7,,,
2979677,CT3,2018-04-30 03:00:00,8.0,8.0,,,,
2979678,CT2,2018-04-30 03:00:00,,,,,,
2979679,BX9,2018-04-30 03:00:00,4.1,,,,,
2979680,BX1,2018-04-30 03:00:00,,9.6,-9.1,,,
2979681,TH4,2018-04-30 03:00:00,2.9,10.7,,,,
2979682,ST5,2018-04-30 03:00:00,5.0,12.0,5.3,,,
2979683,RB7,2018-04-30 03:00:00,4.0,13.0,,,,
2979684,TD5,2018-04-30 03:00:00,4.3,,,,,
2979722,CD1,2018-04-30 04:00:00,4.8,6.3,11.4,,,
2979723,BL0,2018-04-30 04:00:00,,,,,,
2979724,GR4,2018-04-30 04:00:00,5.5,0.3,3.5,,,
2979725,MY7,2018-04-30 04:00:00,3.0,10.1,,,,
2979726,HV1,2018-04-30 04:00:00,4.7,7.3,3.5,,,
2979727,GN3,2018-04-30 04:00:00,3.1,8.0,8.1,,,
2979728,GR9,2018-04-30 04:00:00,3.1,7.3,10.3,,,
2979729,LW2,2018-04-30 04:00:00,4.2,10.2,14.1,,,
2979730,GN0,2018-04-30 04:00:00,5.6,7.8,18.9,,,
2979731,KF1,2018-04-30 04:00:00,,,,,,
2979732,CD9,2018-04-30 04:00:00,,,20.6,,,
2979733,CT3,2018-04-30 04:00:00,1.0,10.0,6.1,,,
2979734,CT2,2018-04-30 04:00:00,,,,,,
2979735,BX9,2018-04-30 04:00:00,5.7,,,,,
2979736,BX1,2018-04-30 04:00:00,,8.5,-6.4,,,
2979737,TH4,2018-04-30 04:00:00,2.8,9.8,,,,
2979738,ST5,2018-04-30 04:00:00,3.0,13.0,7.2,,,
2979739,RB7,2018-04-30 04:00:00,5.0,5.8,,,,
2979740,TD5,2018-04-30 04:00:00,3.3,,,,,
2979778,CD1,2018-04-30 05:00:00,6.4,15.4,44.6,,,
2979779,BL0,2018-04-30 05:00:00,,8.5,22.6,,,
2979780,GR4,2018-04-30 05:00:00,3.2,7.6,6.8,,,
2979781,MY7,2018-04-30 05:00:00,4.0,8.6,,,,
2979782,HV1,2018-04-30 05:00:00,-0.6,1.8,6.0,,,
2979783,GN3,2018-04-30 05:00:00,2.9,8.3,9.7,,,
2979784,GR9,2018-04-30 05:00:00,2.6,6.2,17.4,,,
2979785,LW2,2018-04-30 05:00:00,0.8,8.8,22.1,,,
2979786,GN0,2018-04-30 05:00:00,21.2,8.3,33.3,,,
2979787,KF1,2018-04-30 05:00:00,,,,,,
2979788,CD9,2018-04-30 05:00:00,,,37.8,,,
2979789,CT3,2018-04-30 05:00:00,8.0,8.4,,,,
2979790,CT2,2018-04-30 05:00:00,,,,,,
2979791,BX9,2018-04-30 05:00:00,5.5,,,,,
2979792,BX1,2018-04-30 05:00:00,,7.5,-2.5,,,
2979793,TH4,2018-04-30 05:00:00,3.4,13.7,,,,
2979794,ST5,2018-04-30 05:00:00,5.0,10.0,14.9,,,
2979795,RB7,2018-04-30 05:00:00,6.0,7.8,,,,
2979796,TD5,2018-04-30 05:00:00,6.7,,,,,
2979834,CD1,2018-04-30 06:00:00,10.9,15.8,53.5,,,
2979835,BL0,2018-04-30 06:00:00,3.5,8.8,36.9,,,
2979836,GR4,2018-04-30 06:00:00,3.4,4.4,10.2,,,
2979837,MY7,2018-04-30 06:00:00,6.1,8.9,,,,
2979838,HV1,2018-04-30 06:00:00,0.0,3.2,7.9,,,
2979839,GN3,2018-04-30 06:00:00,3.9,7.2,13.0,,,
2979840,GR9,2018-04-30 06:00:00,1.6,7.5,19.9,,,
2979841,LW2,2018-04-30 06:00:00,2.9,8.0,29.2,,,
2979842,GN0,2018-04-30 06:00:00,6.6,1.2,46.3,,,
2979843,KF1,2018-04-30 06:00:00,,,,,,
2979844,CD9,2018-04-30 06:00:00,,,52.4,,,
2979845,CT3,2018-04-30 06:00:00,9.0,8.8,,,,
2979846,CT2,2018-04-30 06:00:00,,,,,,
2979847,BX9,2018-04-30 06:00:00,3.5,,,,,
2979848,BX1,2018-04-30 06:00:00,,7.8,-0.5,,,
2979849,TH4,2018-04-30 06:00:00,7.0,12.2,,,,
2979850,ST5,2018-04-30 06:00:00,6.0,9.0,20.9,,,
2979851,RB7,2018-04-30 06:00:00,9.0,10.4,,,,
2979852,TD5,2018-04-30 06:00:00,5.4,,,,,
2979890,CD1,2018-04-30 07:00:00,6.8,19.9,56.5,,,
2979891,BL0,2018-04-30 07:00:00,,,,,,
2979892,GR4,2018-04-30 07:00:00,4.7,3.3,11.2,,,
2979893,MY7,2018-04-30 07:00:00,7.1,11.7,,,,
2979894,HV1,2018-04-30 07:00:00,8.9,10.6,9.1,,,
2979895,GN3,2018-04-30 07:00:00,2.2,7.3,14.0,,,
2979896,GR9,2018-04-30 07:00:00,1.7,7.8,21.9,,,
2979897,LW2,2018-04-30 07:00:00,8.3,7.4,31.0,,,
2979898,GN0,2018-04-30 07:00:00,4.1,12.9,44.8,,,
2979899,KF1,2018-04-30 07:00:00,,,,,,
2979900,CD9,2018-04-30 07:00:00,,,59.4,,,
2979901,CT3,2018-04-30 07:00:00,8.0,,,,,
2979902,CT2,2018-04-30 07:00:00,,,,,,
2979903,BX9,2018-04-30 07:00:00,4.6,,,,,
2979904,BX1,2018-04-30 07:00:00,,,1.1,,,
2979905,TH4,2018-04-30 07:00:00,7.0,16.9,48.4,,,
2979906,ST5,2018-04-30 07:00:00,6.0,,22.8,,,
2979907,RB7,2018-04-30 07:00:00,10.0,,,,,
2979908,TD5,2018-04-30 07:00:00,6.5,,,,,
2979946,CD1,2018-04-30 08:00:00,11.0,19.8,62.4,,,
2979947,BL0,2018-04-30 08:00:00,4.6,11.3,55.5,,,
2979948,GR4,2018-04-30 08:00:00,0.6,12.4,10.8,,,
2979949,MY7,2018-04-30 08:00:00,6.9,12.4,,,,
2979950,HV1,2018-04-30 08:00:00,5.7,7.3,8.0,,,
2979951,GN3,2018-04-30 08:00:00,4.6,9.6,14.0,,,
2979952,GR9,2018-04-30 08:00:00,2.0,10.0,24.6,,,
2979953,LW2,2018-04-30 08:00:00,8.5,11.5,33.4,,,
2979954,GN0,2018-04-30 08:00:00,14.8,4.3,43.4,,,
2979955,KF1,2018-04-30 08:00:00,,,,,,
2979956,CD9,2018-04-30 08:00:00,,,51.4,,,
2979957,CT3,2018-04-30 08:00:00,8.0,,,,,
2979958,CT2,2018-04-30 08:00:00,,,,,,
2979959,BX9,2018-04-30 08:00:00,3.7,,,,,
2979960,BX1,2018-04-30 08:00:00,,,13.0,,,
2979961,TH4,2018-04-30 08:00:00,8.1,18.3,,,,
2979962,ST5,2018-04-30 08:00:00,5.0,,24.4,,,
2979963,RB7,2018-04-30 08:00:00,9.0,,,,,
2979964,TD5,2018-04-30 08:00:00,6.4,,,,,
2980002,CD1,2018-04-30 09:00:00,9.6,14.9,56.5,,,
2980003,BL0,2018-04-30 09:00:00,6.2,10.5,55.7,,,
2980004,GR4,2018-04-30 09:00:00,8.3,0.0,9.6,,,
2980005,MY7,2018-04-30 09:00:00,4.6,10.8,,,,
2980006,HV1,2018-04-30 09:00:00,6.7,9.2,7.4,,,
2980007,GN3,2018-04-30 09:00:00,3.9,7.7,12.4,,,
2980008,GR9,2018-04-30 09:00:00,2.2,6.3,22.3,,,
2980009,LW2,2018-04-30 09:00:00,2.2,12.5,30.1,,,
2980010,GN0,2018-04-30 09:00:00,-2.2,10.8,40.8,,,
2980011,KF1,2018-04-30 09:00:00,,,,,,
2980012,CD9,2018-04-30 09:00:00,,,53.7,,,
2980013,CT3,2018-04-30 09:00:00,12.0,13.6,,,,
2980014,CT2,2018-04-30 09:00:00,,,,,,
2980015,BX9,2018-04-30 09:00:00,4.1,,,,,
2980016,BX1,2018-04-30 09:00:00,,9.9,15.5,,,
2980017,TH4,2018-04-30 09:00:00,9.0,16.7,,,,
2980018,ST5,2018-04-30 09:00:00,6.0,12.0,29.6,,,
2980019,RB7,2018-04-30 09:00:00,10.0,9.6,,,,
2980020,TD5,2018-04-30 09:00:00,7.8,,,,,
2980058,CD1,2018-04-30 10:00:00,12.2,15.1,62.8,,,
2980059,BL0,2018-04-30 10:00:00,,,,,,
2980060,GR4,2018-04-30 10:00:00,9.0,5.0,9.3,,,
2980061,MY7,2018-04-30 10:00:00,5.8,13.7,,,,
2980062,HV1,2018-04-30 10:00:00,8.4,9.9,7.0,,,
2980063,GN3,2018-04-30 10:00:00,4.5,10.3,13.7,,,
2980064,GR9,2018-04-30 10:00:00,3.4,9.7,22.7,,,
2980065,LW2,2018-04-30 10:00:00,8.3,12.0,30.1,,,
2980066,GN0,2018-04-30 10:00:00,18.9,11.9,40.8,,,
2980067,KF1,2018-04-30 10:00:00,,,,,,
2980068,CD9,2018-04-30 10:00:00,,,60.8,,,
2980069,CT3,2018-04-30 10:00:00,7.0,11.0,,,,
2980070,CT2,2018-04-30 10:00:00,,,,,,
2980071,BX9,2018-04-30 10:00:00,5.6,,,,,
2980072,BX1,2018-04-30 10:00:00,,9.9,14.4,,,
2980073,TH4,2018-04-30 10:00:00,6.9,18.4,,,,
2980074,ST5,2018-04-30 10:00:00,11.0,10.0,20.6,,,
2980075,RB7,2018-04-30 10:00:00,11.0,13.0,,,,
2980076,TD5,2018-04-30 10:00:00,,,,,,
2980078,CD1,2018-04-30 11:00:00,12.7,20.0,65.8,,,
2980079,BL0,2018-04-30 11:00:00,7.1,12.9,53.4,,,
2980080,GR4,2018-04-30 11:00:00,2.8,10.0,8.7,,,
2980081,MY7,2018-04-30 11:00:00,10.4,14.2,,,,
2980082,HV1,2018-04-30 11:00:00,3.3,7.2,9.1,,,
2980083,GN3,2018-04-30 11:00:00,4.6,10.2,14.1,,,
2980084,GR9,2018-04-30 11:00:00,2.6,9.2,19.4,,,
2980085,LW2,2018-04-30 11:00:00,,,,,,
2980086,GN0,2018-04-30 11:00:00,6.3,4.8,44.1,,,
2980087,KF1,2018-04-30 11:00:00,,,,,,
2980088,CD9,2018-04-30 11:00:00,,,50.1,,,
2980089,CT3,2018-04-30 11:00:00,18.0,20.4,,,,
2980090,CT2,2018-04-30 11:00:00,,,,,,
2980091,BX9,2018-04-30 11:00:00,7.9,,,,,
2980092,BX1,2018-04-30 11:00:00,,11.9,17.9,,,
2980093,TH4,2018-04-30 11:00:00,9.1,20.9,,,,
2980094,ST5,2018-04-30 11:00:00,7.0,16.0,19.8,,,
