id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2978226,CD1,2018-04-29 00:00:00,8.3,13.7,19.6,,,
2978227,BL0,2018-04-29 00:00:00,,,,,,
2978228,GR4,2018-04-29 00:00:00,3.9,10.7,4.9,,,
2978229,MY7,2018-04-29 00:00:00,7.7,8.6,,,,
2978230,HV1,2018-04-29 00:00:00,2.6,3.9,6.5,,,
2978231,GN3,2018-04-29 00:00:00,6.2,11.0,8.6,,,
2978232,GR9,2018-04-29 00:00:00,8.6,9.1,25.7,,,
2978233,LW2,2018-04-29 00:00:00,11.8,13.2,36.4,,,
2978234,GN0,2018-04-29 00:00:00,8.2,10.4,24.0,,,
2978235,KF1,2018-04-29 00:00:00,5.1,6.9,,,,
2978236,CD9,2018-04-29 00:00:00,,,34.0,,,
2978237,CT3,2018-04-29 00:00:00,6.0,12.2,,,,
2978238,CT2,2018-04-29 00:00:00,,,,,,
2978239,BX9,2018-04-29 00:00:00,7.5,,,,,
2978240,BX1,2018-04-29 00:00:00,,9.5,3.8,,,
2978241,TH4,2018-04-29 00:00:00,8.2,16.0,,,,
2978242,ST5,2018-04-29 00:00:00,9.0,10.0,11.6,,,
2978243,RB7,2018-04-29 00:00:00,13.0,11.0,,,,
2978244,TD5,2018-04-29 00:00:00,8.5,,,,,
2978282,CD1,2018-04-29 01:00:00,8.6,12.1,29.8,,,
2978283,BL0,2018-04-29 01:00:00,,8.1,20.5,,,
2978284,GR4,2018-04-29 01:00:00,9.1,7.5,,,,
2978285,MY7,2018-04-29 01:00:00,9.3,9.7,,,,
2978286,HV1,2018-04-29 01:00:00,6.8,7.8,5.4,,,
2978287,GN3,2018-04-29 01:00:00,6.8,9.3,6.5,,,
2978288,GR9,2018-04-29 01:00:00,4.3,9.1,18.0,,,
2978289,LW2,2018-04-29 01:00:00,11.1,9.8,30.8,,,
2978290,GN0,2018-04-29 01:00:00,6.6,8.8,13.7,,,
2978291,KF1,2018-04-29 01:00:00,4.3,6.0,,,,
2978292,CD9,2018-04-29 01:00:00,,,29.1,,,
2978293,CT3,2018-04-29 01:00:00,5.0,10.2,,,,
2978294,CT2,2018-04-29 01:00:00,,,,,,
2978295,BX9,2018-04-29 01:00:00,8.5,,,,,
2978296,BX1,2018-04-29 01:00:00,,8.6,-2.5,,,
2978297,TH4,2018-04-29 01:00:00,,,,,,
2978298,ST5,2018-04-29 01:00:00,8.0,12.0,9.4,,,
2978299,RB7,2018-04-29 01:00:00,11.0,7.8,,,,
2978300,TD5,2018-04-29 01:00:00,6.9,,,,,
2978338,CD1,2018-04-29 02:00:00,8.9,8.7,17.9,,,
2978339,BL0,2018-04-29 02:00:00,,,,,,
2978340,GR4,2018-04-29 02:00:00,7.3,7.1,4.9,,,
2978341,MY7,2018-04-29 02:00:00,5.5,10.2,,,,
2978342,HV1,2018-04-29 02:00:00,5.3,7.5,3.8,,,
2978343,GN3,2018-04-29 02:00:00,7.0,10.2,6.5,,,
2978344,GR9,2018-04-29 02:00:00,4.5,10.4,13.3,,,
2978345,LW2,2018-04-29 02:00:00,14.7,7.5,24.5,,,
2978346,GN0,2018-04-29 02:00:00,8.1,9.5,13.5,,,
2978347,KF1,2018-04-29 02:00:00,4.1,5.8,,,,
2978348,CD9,2018-04-29 02:00:00,,,32.5,,,
2978349,CT3,2018-04-29 02:00:00,5.0,14.0,,,,
2978350,CT2,2018-04-29 02:00:00,,,,,,
2978351,BX9,2018-04-29 02:00:00,6.4,,,,,
2978352,BX1,2018-04-29 02:00:00,,7.1,-1.2,,,
2978353,TH4,2018-04-29 02:00:00,6.0,13.1,,,,
2978354,ST5,2018-04-29 02:00:00,6.0,14.0,7.4,,,
2978355,RB7,2018-04-29 02:00:00,12.0,5.4,,,,
2978356,TD5,2018-04-29 02:00:00,5.3,,,,,
2978394,CD1,2018-04-29 03:00:00,6.3,9.1,14.6,,,
2978395,BL0,2018-04-29 03:00:00,,8.8,14.7,,,
2978396,GR4,2018-04-29 03:00:00,,,,,,
2978397,MY7,2018-04-29 03:00:00,7.2,9.6,,,,
2978398,HV1,2018-04-29 03:00:00,5.1,7.2,3.2,,,
2978399,GN3,2018-04-29 03:00:00,6.1,9.5,4.9,,,
2978400,GR9,2018-04-29 03:00:00,6.6,12.0,10.4,,,
2978401,LW2,2018-04-29 03:00:00,11.3,11.2,18.4,,,
2978402,GN0,2018-04-29 03:00:00,7.0,9.0,8.7,,,
2978403,KF1,2018-04-29 03:00:00,4.1,6.7,,,,
2978404,CD9,2018-04-29 03:00:00,,,22.6,,,
2978405,CT3,2018-04-29 03:00:00,6.0,10.2,,,,
2978406,CT2,2018-04-29 03:00:00,,,,,,
2978407,BX9,2018-04-29 03:00:00,6.2,,,,,
2978408,BX1,2018-04-29 03:00:00,,9.3,-5.7,,,
2978409,TH4,2018-04-29 03:00:00,6.5,14.3,,,,
2978410,ST5,2018-04-29 03:00:00,11.0,15.0,7.0,,,
2978411,RB7,2018-04-29 03:00:00,10.0,8.8,,,,
2978412,TD5,2018-04-29 03:00:00,7.0,,,,,
2978450,CD1,2018-04-29 04:00:00,7.1,9.1,12.1,,,
2978451,BL0,2018-04-29 04:00:00,,,,,,
2978452,GR4,2018-04-29 04:00:00,4.4,14.4,2.1,,,
2978453,MY7,2018-04-29 04:00:00,5.2,8.7,,,,
2978454,HV1,2018-04-29 04:00:00,14.5,15.9,4.1,,,
2978455,GN3,2018-04-29 04:00:00,6.3,10.6,4.3,,,
2978456,GR9,2018-04-29 04:00:00,3.9,9.3,10.7,,,
2978457,LW2,2018-04-29 04:00:00,12.0,9.3,24.0,,,
2978458,GN0,2018-04-29 04:00:00,7.2,9.4,12.0,,,
2978459,KF1,2018-04-29 04:00:00,,,,,,
2978460,CD9,2018-04-29 04:00:00,,,21.3,,,
2978461,CT3,2018-04-29 04:00:00,6.0,8.8,,,,
2978462,CT2,2018-04-29 04:00:00,,,,,,
2978463,BX9,2018-04-29 04:00:00,7.6,,,,,
2978464,BX1,2018-04-29 04:00:00,,9.2,-4.5,,,
2978465,TH4,2018-04-29 04:00:00,6.8,11.5,,,,
2978466,ST5,2018-04-29 04:00:00,7.0,10.0,5.0,,,
2978467,RB7,2018-04-29 04:00:00,9.0,14.4,,,,
2978468,TD5,2018-04-29 04:00:00,6.0,,,,,
2978506,CD1,2018-04-29 05:00:00,7.7,9.9,14.2,,,
2978507,BL0,2018-04-29 05:00:00,,,,,,
